i need to book a table at a food court in nh that serves smelt	O O O O O O O O B-restaurant_type I-restaurant_type O B-state O O B-served_dish
book a reservation for 6 in belle plaine ne	O O O O B-party_size_number O B-city I-city B-state
book me a table for nine at a bar with parking in qatar	O O O O O B-party_size_number O O B-restaurant_type O B-facility O B-country
i need a table for 4 at a restaurant around 0 am	O O O O O B-party_size_number O O B-restaurant_type O B-timeRange I-timeRange
book a restaurant in west hattiesburg for 0 o clock	O O B-restaurant_type O B-city I-city O B-timeRange I-timeRange I-timeRange
book a popular bar in chowchilla	O O B-sort B-restaurant_type O B-city
i need a table at a czech pub at seven	O O O O O O B-cuisine B-restaurant_type O B-party_size_number
i need a reservation for the berghoff in jamaica in 18 seconds	O O O O O B-restaurant_name I-restaurant_name O B-country B-timeRange I-timeRange I-timeRange
book a reservation for seven people at a steakhouse in kenya	O O O O B-party_size_number O O O B-restaurant_type O B-country
book a table for five at the training table	O O O O B-party_size_number O B-restaurant_name I-restaurant_name I-restaurant_name
i need a reservation for a pizzeria nearby vigus	O O O O O O B-restaurant_type B-spatial_relation B-city
i would like to book an american samoa restaurant for 8	O O O O O O B-state I-state B-restaurant_type O B-party_size_number
book a table at the irma hotel in mount repose	O O O O O B-restaurant_name I-restaurant_name O B-city I-city
find a reservation for a restaurant in hong kong for seven people	O O O O O B-restaurant_type O B-country I-country O B-party_size_number O
book a restaurant with parking for three people	O O B-restaurant_type O B-facility O B-party_size_number O
book a table for kristina and teresa in 1 second	O O O O B-party_size_description I-party_size_description I-party_size_description B-timeRange I-timeRange I-timeRange
i d like to eat souvlaki fast food with a party of two	O O O O O B-served_dish B-restaurant_type I-restaurant_type O O O O B-party_size_number
book a cafe in romania	O O B-restaurant_type O B-country
book a restaurant for me angela and mercedes in cimarron city colorado	O O B-restaurant_type O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-city I-city B-state
i want to book meriton grand hotel tallinn in new jersey for four people	O O O O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-state I-state O B-party_size_number O
book me a rustic inn restaurant for 8 members at nappanee	O O O B-restaurant_name I-restaurant_name B-restaurant_type O B-party_size_number O O B-city
book a spot for 8 at the kitchin on october the 13th 2039	O O O O B-party_size_number O B-restaurant_name I-restaurant_name O B-timeRange I-timeRange I-timeRange I-timeRange
book a restaurant close to grant av	O O B-restaurant_type B-spatial_relation O B-poi I-poi
book a table for 9 people for four pm in johnson	O O O O B-party_size_number O O B-timeRange I-timeRange O B-city
gwen carter and i want a reservation in the dominican republic	B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O O O O B-country I-country
can you reserve a table within the same area as the american samoa for me and my mom	O O O O O B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O O B-state I-state O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
i want to bring antoinette christine and caitlin to get bread at a restaurant in faraway connecticut	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-served_dish O O B-restaurant_type O B-spatial_relation B-state
i need to book a pub in cammack village wyoming for a party of seven	O O O O O B-restaurant_type O B-city I-city B-state O O O O B-party_size_number
book a spot for one at a bar in seabrook	O O O O B-party_size_number O O B-restaurant_type O B-city
i want to take me and my momy to eat in flossmoor	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O O B-city
i need a table for 7 people at a bar that specialises in being a protein bar	O O O O O B-party_size_number O O O B-restaurant_type O O O O O B-served_dish I-served_dish
book a neighboring coffeehouse with internet in shingleton	O O B-spatial_relation B-restaurant_type O B-facility O B-city
book a spot for six in greece	O O O O B-party_size_number O B-country
i need a table for 4 in florida	O O O O O B-party_size_number O B-state
i need a table for nine at a restaurant in pelican bay serving chips on december 6 2031	O O O O O B-party_size_number O O B-restaurant_type O B-city I-city O B-served_dish O B-timeRange I-timeRange I-timeRange
i d like a table for 7 at ten pm at a cafeteria in al that serves malaysian food	O O O O O O B-party_size_number O B-timeRange I-timeRange O O B-restaurant_type O B-state O O B-cuisine O
book a table at jacob wirth restaurant for 8	O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-party_size_number
book a restaurant in medford lakes on sep 8 2033 for essie tonya and i	O O B-restaurant_type O B-city I-city O B-timeRange I-timeRange I-timeRange O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
i need to book a pool side bar for 5 people 17 weeks from now distant from here at mountain lakes	O O O O O B-facility O B-restaurant_type O B-party_size_number O B-timeRange I-timeRange I-timeRange I-timeRange B-spatial_relation O O O B-city I-city
reserve a table for 8 in neighboring hitchland	O O O O B-party_size_number O B-spatial_relation B-city
book a restaurant in three points	O O B-restaurant_type O B-city I-city
find a pub for me in fm	O O B-restaurant_type O O O B-state
find a table at a restaurant in bynum ca at 09:59 pm	O O O O O B-restaurant_type O B-city B-state O B-timeRange I-timeRange
book a spot at a taverna with internet in mississippi	O O O O O B-restaurant_type O B-facility O B-state
book sot for one at restaurant with wifi	O O O B-party_size_number O B-restaurant_type O B-facility
book a restaurant in botswana for seven people	O O B-restaurant_type O B-country O B-party_size_number O
book a spot for five in the same area as 72nd st	O O O O B-party_size_number B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-poi I-poi
i want to eat breakfast at the green restaurant certification	O O O O B-timeRange O O B-restaurant_name I-restaurant_name I-restaurant_name
i want to find a restaurant that has a table for two at 5 am	O O O O O B-restaurant_type O O O O O B-party_size_number O B-timeRange I-timeRange
book a spot for me reyna and maxine at a taverna on monday	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type O B-timeRange
me and my mummy want to go to an indian bar next winter within the same area of cortelyou rd	B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O O O O B-cuisine B-restaurant_type B-timeRange I-timeRange B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-poi I-poi
i want to book a doughnut bar in american samoa	O O O O O B-served_dish B-restaurant_type O B-state I-state
book a english pub for me belinda and dena close-by syria next dec	O O B-cuisine B-restaurant_type O B-party_size_description I-party_size_description I-party_size_description I-party_size_description B-spatial_relation B-country B-timeRange I-timeRange
book a spot for seven at a brasserie with ginestrata	O O O O B-party_size_number O O B-restaurant_type O B-served_dish
i d like to eat at the oyster bar for a party of one that has internet	O O O O O O O B-restaurant_type I-restaurant_type O O O O B-party_size_number O O B-facility
book a table for 10 people on bunker hill day at a food court which serves spätzle in monaco	O O O O B-party_size_number O O B-timeRange I-timeRange I-timeRange O O B-restaurant_type I-restaurant_type O O B-served_dish O B-country
find a reservation at boone tavern for 4 people in 10:24	O O O O B-restaurant_name I-restaurant_name O B-party_size_number O O B-timeRange
book me best joint restaurant for 2 members at american samoa today	O O B-sort B-restaurant_type I-restaurant_type O B-party_size_number O O B-country I-country B-timeRange
i want a table for 9 in loyola at gus stevens seafood restaurant & buccaneer lounge	O O O O O B-party_size_number O B-city O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name
please book me a table for 1 person at a brasserie	O O O O O O B-party_size_number O O O B-restaurant_type
book laurelhurst theater for 8 people	O B-restaurant_name I-restaurant_name O B-party_size_number O
i want to book a restaurant for ten this summer	O O O O O B-restaurant_type O B-party_size_number B-timeRange I-timeRange
book a restaurant for november 19	O O B-restaurant_type O B-timeRange I-timeRange
i need a restaurant in indonesia for 7	O O O B-restaurant_type O B-country O B-party_size_number
i have a party of four in japan and need a reservation at rimsky-korsakoffee house on aug the 3rd	O O O O O B-party_size_number O B-country O O O O O B-restaurant_name I-restaurant_name O B-timeRange I-timeRange I-timeRange
i would like a table for jacqueline wilson and deanna at david carpenter house in uncas fm	O O O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-restaurant_name I-restaurant_name I-restaurant_name O B-city B-state
i want to book a pizza restaurant close to astor place for nine at 3 am	O O O O O B-served_dish B-restaurant_type B-spatial_relation O B-poi I-poi O B-party_size_number O B-timeRange I-timeRange
find a table for two in a place not far in culdesac	O O O O B-party_size_number O O O B-spatial_relation I-spatial_relation O B-city
book a spot for one	O O O O B-party_size_number
book the oriel in allison for a party of four	O B-restaurant_name I-restaurant_name O B-city O O O O B-party_size_number
i d like to get 4 seats at a restaurant	O O O O O B-party_size_number O O O B-restaurant_type
book indian food at a highly rated pub for 1 for 02:22 pm	O B-cuisine O O O B-sort I-sort B-restaurant_type O B-party_size_number O B-timeRange I-timeRange
can you get seating for 1 person at a cafeteria in pauls crossroads	O O O O O B-party_size_number O O O B-restaurant_type O B-city I-city
need a table in serbia and montenegro on apr 16 for a party of seven	O O O O B-country I-country I-country O B-timeRange I-timeRange O O O O B-party_size_number
i want to go to an outdoor cafe in pioneer day	O O O O O O B-facility B-restaurant_type O B-timeRange I-timeRange
book a table at laurie beechman theatre for a party of 4 in utah	O O O O B-restaurant_name I-restaurant_name I-restaurant_name O O O O B-party_size_number O B-state
i want to eat a a brasserie that serves muffuletta where can i get a reservation	O O O O O O B-restaurant_type O O B-served_dish O O O O O O
i need a table for 4 in pelland	O O O O O B-party_size_number O B-city
need a booking for 6 in ok for the city of boonton	O O O O B-party_size_number O B-state O O O O B-city
book a table at a restaurant within the same area as the octagon christchurch in allentown	O O O O O B-restaurant_type B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-restaurant_name I-restaurant_name I-restaurant_name O B-poi
book a restaurant for a meal for 4 people	O O B-restaurant_type O O B-timeRange O B-party_size_number O
book in west palm beach for glenda lois and tamra at a nearby restaurant serving puglia	O O B-city I-city I-city O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-spatial_relation B-restaurant_type O B-cuisine
book a bar table for tonight for rajasthani food	O O B-restaurant_type O O B-timeRange O B-cuisine O
where can i book a table close to me in moon run at sixteen o clock that will take three people	O O O O O O B-spatial_relation O O O B-city I-city O B-timeRange I-timeRange I-timeRange O O O B-party_size_number O
book a table for eight this month in maldives	O O O O B-party_size_number B-timeRange I-timeRange O B-country
i want to find a restaurant to eat at in westernport	O O O O O B-restaurant_type O O O O B-city
i d like reservations for me and my grandkid at a top-rated restaurant that serves molise cuisine in pa	O O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-sort B-restaurant_type O O B-cuisine O O B-state
book a restaurant within the same area as saratoga av	O O B-restaurant_type B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-poi I-poi
i want a table for 9 at the taverna pub	O O O O O B-party_size_number O O B-cuisine B-restaurant_type
book a table at central grocery on mar 22nd 2020	O O O O B-restaurant_name I-restaurant_name O B-timeRange I-timeRange I-timeRange
book a brasserie in the falkland islands for this week	O O B-restaurant_type O O B-country I-country O B-timeRange I-timeRange
book a bar in holtville nd for 7 people	O O B-restaurant_type O B-city B-state O B-party_size_number O
i need a table for nine in atlas in 1 second	O O O O O B-party_size_number O B-city B-timeRange I-timeRange I-timeRange
book a joint in sixteen minutes for 9	O O B-restaurant_type B-timeRange I-timeRange I-timeRange O B-party_size_number
book a table in fullerville at a highly rated bar	O O O O B-city O O B-sort I-sort B-restaurant_type
book reservations at a restaurant in mi seven weeks from now	O O O O B-restaurant_type O B-state B-timeRange I-timeRange I-timeRange I-timeRange
make me a reservation for elvira and i in brazil	O O O O O B-party_size_description I-party_size_description I-party_size_description O B-country
make me a reservation somewhere near here for me and my step brother by adeline s apartment	O O O O O B-spatial_relation O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-poi I-poi I-poi
book a spot for ten in ms	O O O O B-party_size_number O B-state
table at nankin cafe fr one	O O B-restaurant_name I-restaurant_name O B-party_size_number
book a spot for 10 in the same area of inwood - 207th st	O O O O B-party_size_number B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-poi I-poi I-poi I-poi
i want to book reservations for 8 at an indoor restaurant	O O O O O O B-party_size_number O O B-facility B-restaurant_type
need book a restaurant for this autumn in illinois	O O O B-restaurant_type O B-timeRange I-timeRange O B-state
book me seats for 6 at a restaurant in wv in one second	O O O O B-party_size_number O O B-restaurant_type O B-state B-timeRange I-timeRange I-timeRange
book a tavern in rhode island that serves saucisse	O O B-restaurant_type O B-state I-state O O B-served_dish
book a bar with mediterranean food for three people	O O B-restaurant_type O B-cuisine O O B-party_size_number O
i d like to eat at a restaurant one minute from now that s highly rated	O O O O O O O B-restaurant_type B-timeRange I-timeRange I-timeRange I-timeRange O O B-sort I-sort
i need to book a restaurant in burkettsville in 2 years for rhoda adams roxanne and i	O O O O O B-restaurant_type O B-city B-timeRange I-timeRange I-timeRange O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description
make reservations for me at a taverna in hong kong	O O O O O O B-restaurant_type O B-country I-country
book a restaurant in montverde in marshall islands	O O B-restaurant_type O B-city O B-state I-state
book a table for 4 at fish express	O O O O B-party_size_number O B-restaurant_name I-restaurant_name
i want to go to the freight house in gabon	O O O O O O B-restaurant_name I-restaurant_name O B-country
book a table at black rapids roadhouse in antarctica for nine	O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-country O B-party_size_number
book mars 2112 in rwanda for 4 people	O B-restaurant_name I-restaurant_name O B-country O B-party_size_number O
book a reservation for a popular restaurant in federated states of micronesia	O O O O O B-sort B-restaurant_type O B-state I-state I-state I-state
book a spot for six on october fifth in mineola	O O O O B-party_size_number O B-timeRange I-timeRange O B-city
please book a restaurant room which serves hangtown fry dish in jagual	O O O B-restaurant_type O O O B-served_dish I-served_dish O O B-city
book in southern shores for 8 at ariston cafe	O O B-city I-city O B-party_size_number O B-restaurant_name I-restaurant_name
book a spot for 8 at a popular taverna	O O O O B-party_size_number O O B-sort B-restaurant_type
i want a table for 5 next fall om curacao	O O O O O B-party_size_number B-timeRange I-timeRange O B-country
please book me a table at a food court faraway from saint kitts and nevis	O O O O O O O B-restaurant_type I-restaurant_type B-spatial_relation O B-country I-country I-country I-country
can you get me seating for a party of 4	O O O O O O O O O B-party_size_number
my sons and i want to dine at the water club in georgia	B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-state
book a food court indoor at penermon for my step father and i	O O B-restaurant_type I-restaurant_type B-facility O B-city O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description
bar restaurant for november the twelfth 2030 that is popular and for a party of ten	B-restaurant_type I-restaurant_type O B-timeRange I-timeRange I-timeRange I-timeRange O O B-sort O O O O O B-party_size_number
book a table at a brasserie type restaurant that serves jain for a party of 8	O O O O O B-restaurant_type O B-restaurant_type O O B-cuisine O O O O B-party_size_number
book a brasserie that serves mezzes in iowa	O O B-restaurant_type O O B-served_dish O B-state
i need a table for 6 to eat at nearby in clinchco	O O O O O B-party_size_number O O O B-spatial_relation O B-city
at 8 am i want to eat at the rosebud in the federated states of micronesia	O B-timeRange I-timeRange O O O O O B-restaurant_name I-restaurant_name O O B-state I-state I-state I-state
book a table for six at the cherry street tavern for january sixteenth 2024	O O O O B-party_size_number O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-timeRange I-timeRange I-timeRange
find me a table at a javanese brasserie	O O O O O O B-cuisine B-restaurant_type
book a spot for 1 at a bakery with crab cake not far from new jersey	O O O O B-party_size_number O O B-restaurant_type O B-served_dish I-served_dish B-spatial_relation I-spatial_relation O B-state I-state
please book a room in the river café restaurant to accommodate eight members in andorra	O O O O O B-restaurant_name I-restaurant_name I-restaurant_name B-restaurant_type O O B-party_size_number O O B-country
need to book a table at a fast food restaurant for a party of nine on november seventeenth 2019	O O O O O O O B-restaurant_type I-restaurant_type O O O O O B-party_size_number O B-timeRange I-timeRange I-timeRange
book a bakery with smoking room for nine in niger	O O B-restaurant_type O B-facility I-facility O B-party_size_number O B-country
book a table at dillard house in exell ia	O O O O B-restaurant_name I-restaurant_name O B-city B-state
book a table over the internet for six at a food truck in vanuatu for two pm	O O O O O B-facility O B-party_size_number O O B-restaurant_type I-restaurant_type O B-country O B-timeRange I-timeRange
book a brasserie type restaurant that serves pizzas in american samoa	O O B-restaurant_type O B-restaurant_type O O B-served_dish O B-state I-state
i need to find a restaurant in pw	O O O O O B-restaurant_type O B-state
book something at a highly rated and distant cafe in kazakhstan for two on april 21	O O O O B-sort I-sort O B-spatial_relation B-restaurant_type O B-country O B-party_size_number O B-timeRange I-timeRange
book in falkland islands at atomic cafe	O O B-country I-country O B-restaurant_name I-restaurant_name
can you get seating for my father and i at a restaurant in birch run	O O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type O B-city I-city
book a table for 5 people in goodland ak	O O O O B-party_size_number O O B-city B-state
book a brazilian diner for 9 that s highly rated within the same area as comoros	O O B-cuisine B-restaurant_type O B-party_size_number O O B-sort I-sort B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-country
book a restaurant with a spa in connecticut	O O B-restaurant_type O O B-facility O B-state
i want to check out a pub that has internet in homer city	O O O O O O B-restaurant_type O O B-facility O B-city I-city
i need to book a restaurant at supper time in il	O O O O O B-restaurant_type O B-timeRange O O B-state
i need a table for four at a restaurant in al	O O O O O B-party_size_number O O B-restaurant_type O B-state
