i want to fly from baltimore to dallas round trip	O O O O O B-fromloc.city_name O B-toloc.city_name B-round_trip I-round_trip
show me flights from dallas to pittsburgh	O O O O B-fromloc.city_name O B-toloc.city_name
what flights are there arriving in chicago on continental after 11 pm	O O O O O O B-toloc.city_name O B-airline_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time
what is the lowest cost fare that delta has between boston and san francisco	O O O B-cost_relative I-cost_relative O O B-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
i'd like to go from boston to san francisco	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
round trip air fares from pittsburgh to philadelphia less than 1000 dollars	B-round_trip I-round_trip O O O B-fromloc.city_name O B-toloc.city_name B-cost_relative O B-fare_amount I-fare_amount
does any airline have a jet flight between pittsburgh and baltimore	O O O O O O O O B-fromloc.city_name O B-toloc.city_name
what is mco	O O B-airport_code
show me the flights from newark new jersey to ontario international next saturday	O O O O O B-fromloc.city_name B-fromloc.state_name I-fromloc.state_name O B-toloc.airport_name I-toloc.airport_name B-depart_date.date_relative B-depart_date.day_name
i want to fly from dallas fort worth to philadelphia	O O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
show me flights between new york city and las vegas	O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name
how long does it take to get from atlanta airport into the city of atlanta	O O O O O O O O B-fromloc.airport_name I-fromloc.airport_name O O O O B-toloc.city_name
show me all first class prices from dallas to baltimore	O O O B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name
is there a flight between san francisco and boston with a stopover in dallas fort worth	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O O B-stoploc.city_name I-stoploc.city_name I-stoploc.city_name
show me ground transportation information for san francisco	O O O O O O B-city_name I-city_name
need an inexpensive flight from baltimore to san francisco	O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
find the earliest flight from boston to oakland that serves breakfast	O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O O B-meal_description
i'd like to fly from philadelphia to dallas to san francisco	O O O O O B-fromloc.city_name O B-toloc.city_name O B-toloc.city_name I-toloc.city_name
show me all the direct flights from atlanta to baltimore	O O O O B-connect O O B-fromloc.city_name O B-toloc.city_name
latest flight from houston to san jose	B-flight_mod O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
what're the flights from new york city to las vegas that arrive on a sunday	O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-arrive_date.day_name
i would like to fly united airlines from washington dc to denver colorado	O O O O O B-airline_name I-airline_name O B-fromloc.city_name B-fromloc.state_code O B-toloc.city_name B-toloc.state_name
okay i need to see economy flights on united between dallas and baltimore	O O O O O B-economy O O B-airline_name O B-fromloc.city_name O B-toloc.city_name
please show me flights from pittsburgh to atlanta on wednesday morning serving breakfast	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day O B-meal_description
i need information for flights leaving baltimore and arriving in atlanta	O O O O O O B-fromloc.city_name O O O B-toloc.city_name
show me all flights from san francisco to pittsburgh which arrive in pittsburgh before 9 o'clock am tomorrow	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O B-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time I-arrive_time.time B-arrive_date.today_relative
show me the fares from dallas to san francisco	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
please give me flights available from baltimore to philadelphia	O O O O O O B-fromloc.city_name O B-toloc.city_name
what are the flights on january first 1992 from boston to san francisco	O O O O O B-depart_date.month_name B-depart_date.day_number B-depart_date.year O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
flights from denver to baltimore between 10 am and 2 pm	O O B-fromloc.city_name O B-toloc.city_name O B-depart_time.start_time I-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time
what ground transportation is there in atlanta	O O O O O O B-city_name
list nonstop flights from baltimore washington to oakland that arrive between 445 and 515 pm	O B-flight_stop O O B-fromloc.city_name B-fromloc.city_name O B-toloc.city_name O O O B-arrive_time.start_time O B-arrive_time.end_time I-arrive_time.end_time
show flights from baltimore to san francisco between 6 pm and 8 pm on friday	O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_time.start_time I-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time O B-depart_date.day_name
i want to fly from denver to san francisco	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
coach fares only weekdays for denver to boston	B-class_type O B-flight_mod I-flight_mod O B-fromloc.city_name O B-toloc.city_name
what are the coach fares for flights from newark to la leaving after 3 pm	O O O B-class_type O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_time.time_relative B-depart_time.time I-depart_time.time
from philadelphia to toronto	O B-fromloc.city_name O B-toloc.city_name
i would like a nonstop flight from philadelphia to pittsburgh	O O O O B-flight_stop O O B-fromloc.city_name O B-toloc.city_name
what are my choices of flights leaving early afternoon from minneapolis to indianapolis	O O O O O O O B-depart_time.period_of_day B-depart_time.period_of_day O B-fromloc.city_name O B-toloc.city_name
what is the cheapest flight flying from boston to atlanta before 8	O O O B-cost_relative O O O B-fromloc.city_name O B-toloc.city_name B-depart_time.time_relative B-depart_time.time
list possible round trip daily flights between boston and oakland	O O B-round_trip I-round_trip B-flight_days O O B-fromloc.city_name O B-toloc.city_name
please give me round trip fares from baltimore to philadelphia	O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name
find a flight from long beach to st. louis stopping in dallas	O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-stoploc.city_name
please list the flights from st. paul to kansas city on friday night that serve meals	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day O O B-meal
what is lowest cost air fare available for a flight from dallas to baltimore arriving on july fourth	O O B-cost_relative I-cost_relative O O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-arrive_date.month_name B-arrive_date.day_number
can you show me the flights from baltimore to dallas	O O O O O O O B-fromloc.city_name O B-toloc.city_name
i need flight information on saturday for a flight from philadelphia to dallas	O O O O O B-depart_date.day_name O O O O B-fromloc.city_name O B-toloc.city_name
show me the flights from denver that go to pittsburgh and then atlanta	O O O O O B-fromloc.city_name O O O B-toloc.city_name O O B-toloc.city_name
what is the earliest flight you have leaving boston heading to philadelphia	O O O B-flight_mod O O O O B-fromloc.city_name O O B-toloc.city_name
what are the least expensive flights from denver to atlanta	O O O B-cost_relative I-cost_relative O O B-fromloc.city_name O B-toloc.city_name
what kind of ground transportation is there once i get to dallas	O O O O O O O O O O O B-city_name
show me the flights that go from atlanta to washington on thursday mornings	O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day
find a flight on delta from philadelphia to san francisco	O O O O B-airline_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
do you have any flights from boston to dallas fort worth that stop over in philadelphia	O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name O O O O B-stoploc.city_name
what is ff	O O B-airline_code
show all nonstop flights from boston to san francisco	O O B-flight_stop O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
what kind of ground transportation is available in denver	O O O O O O O O B-city_name
i would like to travel from indianapolis to houston	O O O O O O B-fromloc.city_name O B-toloc.city_name
find travel arrangements for a round trip flight from boston to pittsburgh	O O O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name
please list the tuesday flights from atlanta to st. louis	O O O B-depart_date.day_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
show me all flights from atlanta to san francisco	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
what is the cheapest fare i can get from dallas to denver	O O O B-cost_relative O O O O O B-fromloc.city_name O B-toloc.city_name
what is the latest flight from salt lake city to st. petersburg	O O O B-flight_mod O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name
chicago to san francisco on continental	B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-airline_name
could you show me all the flights from oakland to salt lake city	O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name
what cities are served by canadian airlines international	O O O O O B-airline_name I-airline_name I-airline_name
san francisco to philadelphia please	B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O
flights from nashville to seattle	O O B-fromloc.city_name O B-toloc.city_name
what flights are available friday afternoon from philadelphia to oakland california	O O O O B-depart_date.day_name B-depart_time.period_of_day O B-fromloc.city_name O B-toloc.city_name B-toloc.state_name
tell me about flights from toronto to salt lake city leaving toronto between 530 and 7 pm	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name O B-fromloc.city_name O B-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time
what kinds of ground transportation is available in dallas fort worth	O O O O O O O O B-city_name I-city_name I-city_name
requesting flight information from boston to denver on wednesday	O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name
can you list all flights departing from toronto and landing in san diego with a stopover in denver	O O O O O O O B-fromloc.city_name O O O B-toloc.city_name I-toloc.city_name O O O O B-stoploc.city_name
all flights from denver to pittsburgh leaving after 6 pm and before 7 pm	O O O B-fromloc.city_name O B-toloc.city_name O B-depart_time.time_relative B-depart_time.time I-depart_time.time O B-depart_time.time_relative B-depart_time.time I-depart_time.time
list flights from phoenix to detroit on wednesday	O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name
what is the distance between pittsburgh airport and downtown pittsburgh	O O O O O B-fromloc.airport_name I-fromloc.airport_name O O B-toloc.city_name
show me the flights from love field to any other airport	O O O O O B-fromloc.airport_name I-fromloc.airport_name O O O O
find a flight from charlotte to las vegas that stop in st. louis that serve dinner and i want to find the airline for this flight	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-stoploc.city_name I-stoploc.city_name O O B-meal_description O O O O O O O O O O
list all flights from washington dc to tampa florida	O O O O B-fromloc.city_name B-fromloc.state_code O B-toloc.city_name B-toloc.state_name
can you tell me the cheapest one way fare from boston to san francisco	O O O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
what airlines are there	O O O O
i would like a flight between denver and san francisco leaving from denver in the afternoon and arriving at 5 pm it must be a nonstop flight	O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-fromloc.city_name O O B-depart_time.period_of_day O O O B-arrive_time.time I-arrive_time.time O O O O B-flight_stop O
is there an airline that advertises having more flights than any other airline	O O O O O O O B-mod O O O O O
phoenix to denver	B-fromloc.city_name O B-toloc.city_name
what is the lowest fare from denver to atlanta	O O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name
all flights from boston to washington dc on november eleventh	O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O B-depart_date.month_name B-depart_date.day_number
flight from nashville to cleveland	O O B-fromloc.city_name O B-toloc.city_name
i would like to see the flights from baltimore to philadelphia please	O O O O O O O O B-fromloc.city_name O B-toloc.city_name O
i want a flight on twa from boston to denver	O O O O O B-airline_code O B-fromloc.city_name O B-toloc.city_name
can you list flights from boston to washington with the lowest one way fares that leave on saturday	O O O O O B-fromloc.city_name O B-toloc.city_name O O B-cost_relative B-round_trip I-round_trip O O O O B-depart_date.day_name
give me flights that arrive in baltimore from atlanta denver and pittsburgh	O O O O O O B-toloc.city_name O B-fromloc.city_name B-fromloc.city_name O B-fromloc.city_name
all flights leaving washington dc to san francisco that are first class	O O O B-fromloc.city_name B-fromloc.state_code O B-toloc.city_name I-toloc.city_name O O B-class_type I-class_type
i need a flight from baltimore to seattle	O O O O O B-fromloc.city_name O B-toloc.city_name
what are the ground transportation services in philadelphia	O O O O O O O B-city_name
what does fare code qo mean	O O O O B-fare_basis_code O
ground transportation washington	O O B-city_name
show me the latest flight to love field	O O O B-flight_mod O O B-toloc.airport_name I-toloc.airport_name
what airlines fly between boston and atlanta	O O O O B-fromloc.city_name O B-toloc.city_name
what is american's last flight from boston to washington dc on july twenty first	O O B-airline_name B-flight_mod O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number
show flights from boston to denver on wednesday morning	O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day
show me all flights from philadelphia to boston on monday which serve a meal and arrive before noon	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name O O O B-meal O O B-arrive_time.time_relative B-arrive_time.time
list all daily flights between boston and oakland and between oakland and boston using delta airlines	O O B-flight_days O O B-fromloc.city_name O B-toloc.city_name O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name
i need a flight from ontario to los angeles on a thursday	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-depart_date.day_name
what are the fares from dallas to san francisco on flight dl 217	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-airline_code B-flight_number
what are the flights from montreal to chicago	O O O O O B-fromloc.city_name O B-toloc.city_name
list daily flights of united airline from denver to baltimore with first class service	O B-flight_days O O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name O B-class_type I-class_type O
is there ground transportation from the atlanta airport to downtown atlanta	O O O O O O B-fromloc.airport_name I-fromloc.airport_name O O B-toloc.city_name
please show me early morning flights from atlanta to philadelphia on wednesday	O O O B-depart_time.period_of_day B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name
what flights from baltimore to san francisco arrive before 8 pm in san francisco	O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time O B-toloc.city_name I-toloc.city_name
okay could you get me a round trip ticket from indianapolis to kansas city	O O O O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
show me the flights from miami to denver	O O O O O B-fromloc.city_name O B-toloc.city_name
what is the earliest flight flying from pittsburgh to atlanta on july fifth	O O O B-flight_mod O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number
find a flight between denver and oakland the flight should leave in the afternoon and arrive near 5 pm the flight should also be nonstop	O O O O B-fromloc.city_name O B-toloc.city_name O O O O O O B-depart_time.period_of_day O O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time O O O O O B-flight_stop
what ground transportation is available in newark	O O O O O O B-city_name
i want a flight from philadelphia to dallas with a stop in atlanta	O O O O O B-fromloc.city_name O B-toloc.city_name O O O O B-stoploc.city_name
i need information on flights from kansas city missouri to salt lake city utah i am interested in only those flights on delta airlines	O O O O O O B-fromloc.city_name I-fromloc.city_name B-fromloc.state_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name B-toloc.state_name O O O O O O O O B-airline_name I-airline_name
when is the first flight leaving from oakland to boston	O O O B-flight_mod O O O B-fromloc.city_name O B-toloc.city_name
flights from phoenix to las vegas	O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
tell me about flights leaving from atlanta and going to charlotte north carolina next monday i need to know about flights that arrive in charlotte between 415 and 530 pm	O O O O O O B-fromloc.city_name O O O B-toloc.city_name B-toloc.state_name I-toloc.state_name B-depart_date.date_relative B-depart_date.day_name O O O O O O O O O B-toloc.city_name O B-arrive_time.start_time O B-arrive_time.end_time I-arrive_time.end_time
show me delta flights from dallas to denver	O O B-airline_name O O B-fromloc.city_name O B-toloc.city_name
in denver what kind of ground transportation is there from the airport to downtown	O B-city_name O O O O O O O O O O O O
give me a flight from philadelphia to denver on sunday	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name
show me all fares between philadelphia and san francisco that are less than 200 dollars one way	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-cost_relative O B-fare_amount I-fare_amount B-round_trip I-round_trip
explain meal codes sd d	O B-meal O B-meal_code I-meal_code
i want the flights from denver to pittsburgh	O O O O O B-fromloc.city_name O B-toloc.city_name
what are all flights from boston to denver	O O O O O B-fromloc.city_name O B-toloc.city_name
show me the cheapest fare from dallas to baltimore	O O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name
i'm trying to fly from denver to boston and i want a flight that serves a meal	O O O O O B-fromloc.city_name O B-toloc.city_name O O O O O O O O B-meal
what's the cheapest fare from san francisco to baltimore	O O B-cost_relative O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
list the round trip flights from st. paul to san jose	O O B-round_trip I-round_trip O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name
what's the earliest flight i can get between boston and dallas	O O B-flight_mod O O O O O B-fromloc.city_name O B-toloc.city_name
i'd like to know what type of plane flies from boston to dallas fort worth after 530	O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name B-depart_time.time_relative B-depart_time.time
could you please show me all the weekday flights between denver and dallas	O O O O O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name
i'd like to fly from columbus to nashville tomorrow morning	O O O O O B-fromloc.city_name O B-toloc.city_name B-depart_date.today_relative B-depart_time.period_of_day
which of the flights from pittsburgh to baltimore on july twenty fifth 1991 carries the smallest number of passengers	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number B-depart_date.year O O B-mod O O O
show me all flights from new york to miami leaving on a tuesday and show me all flights from miami to new york leaving on sunday	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O B-depart_date.day_name O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-depart_date.day_name
list the takeoffs and landings at general mitchell international	O O O O O O B-airport_name I-airport_name I-airport_name
